"path","size_bytes","sha256","language"
"reports/.forensic_state_ps.json","890","7c7571dfe2e347936237333e4da13814646c63f252f7bd8ae8610f78a6f7b8a8","json"
"reports/BUILD_COMPLETION_REPORT.md","18606","ae0fce5891206bed04f09c1346b59f640e8235d499251b593767514e3eb5dfb3","md"
"reports/BUILD_FINAL_STATUS_REPORT.md","19652","51e673f6df97c878d5d592be97f9b2db1ef61f1f9bfe722ed7528e4890bf6d82","md"
"reports/BUILD_PROGRESS_REPORT_001.md","16588","894e123d43148ddbbd0bf485d3dcc52de0ee1e26e69c2a8c5828368183ce845f","md"
"reports/ELITE_EXECUTION_PLAN_v1.0.md","29757","b20a7752cbd5ae290bf01fe0c3be564267e5577ace64b673c13e0086f9ffa8e4","md"
"reports/FORENSIC_ANALYSIS_REPORT_v1.0.md","35514","8b749872f723a9e591679a2e38b4fe4db5e4d26901af6ab4be9cc80175e6db70","md"
"reports/forensic_core__backend_gateway.csv","3031507","85dd6c50f370e138aa669f8d6046b42be534ec95617cc3e00531ccb26b694cfd","csv"
"reports/forensic_core__backend_services_customer.csv","1789492","0a0f56816cf46a9d890340d1960967eacd2c6faf7f5458e68388f49e081915c3","csv"
"reports/forensic_core__backend_services_events.csv","889","f0631bfd2050cc5459428f8fa47194a465efde960bfc195ea99d26f704f240d7","csv"
"reports/forensic_core__backend_services_inventory.csv","501619","5cb2d9c7765ad23fedef268a6bd1df0c7e7bd509df4b9bcf777888fcb98f3a5c","csv"
"reports/forensic_core__backend_services_order.csv","502142","c661f49a27e4c83a56e75888c70e34032e2fc2bdee5dc5c54b045b067548edc7","csv"
"reports/forensic_core__backend_services_payment.csv","508550","1ab7d691ee7a56d2418ebef2daa02598400102e20860212925bcf6f309da8988","csv"
"reports/forensic_core__backend_services_pricing.csv","508418","e1f44e008d16b2cf9ff0d164d4fde518668ce5626f9e5e9096a49d3ee145892a","csv"
"reports/forensic_core__backend_services_product.csv","495644","2f87391c42c77c995cfb4be68815ddab71140115edfb022e850d5d4576ed0fbd","csv"
"reports/forensic_core__backend_shared_kafka_client.csv","416","77b6765a4377aed796900b725685be0953583f8b26fdb9e71821a025a0f5c90e","csv"
"reports/forensic_core__backend_shared_kernel.csv","2148990","a71b6db7018967cdd4f725ff29a56def39c14dd5aa7607c2902fcbe79afdafca","csv"
"reports/forensic_core__frontend_admin_dashboard.csv","4640156","d5bb347fde8179bb157a440bb27c988e8b7cd9e6a9e31dd314bf0a6d950570e5","csv"
"reports/forensic_core__frontend_distributor_portal.csv","5579073","d4e73d2b9fba42cc81e895b7dd6849e1b4f430a34c2cb30a41038578808409b0","csv"
"reports/forensic_core__git.csv","42635","8a0cbe4b069920cd924312614485b543697bab2ca39b395a2c628c68330e0fcb","csv"
"reports/forensic_core__github.csv","372","c1bc700010e4a793c11420312ffff1647c72627a1eaa4061bfb8b8d389a8e065","csv"
"reports/forensic_core__infrastructure.csv","1830","3f39a9a487a29143b5d58651ad4daf84087b35ad0dad2b7f76179a670e08aa1e","csv"
"reports/forensic_core__node_modules.csv","1499069","9ad47fab1e60559c323e827ca2c05179ba5d682155d9b6b0169740132ddb50de","csv"
"reports/forensic_core__root_files.csv","3106","50d15f9382c886a4d932e341aee0aa5710982a544a04006e2396c29a1953a900","csv"
"reports/forensic_core__tests.csv","840","03c7de0a34c2bd6c264b8378058105804cf3bcadc534e5da758dbc14cf70e69d","csv"
"reports/forensic_runner.mjs","61","0ea24daae27cd08ecc01555808e3a7b7a223e06872531672090180813653f9a5","mjs"
"reports/forensic_scan.ps1","5998","c08c708ee122e1d9a7cfd1eaf3fc6f13319cd1d1fdb2bc14c94cf9b7f65727d6","ps1"
"reports/forensic_scan_summary.json","890","7c7571dfe2e347936237333e4da13814646c63f252f7bd8ae8610f78a6f7b8a8","json"
"reports/README.md","6157","042353603bed461c14277b23217b7847dd4a51aa3240b9429ccc30905a2bb444","md"
"reports/STRATEGIC_FORWARD_PLAN_v1.0.md","36802","705f03fb08816f95f4f7e76b1d0feefa577e48ff14b6cd1a89a69fe42af8089e","md"
"reports/_test_write.txt","13","039e0f0099591278c44fc9b6a64433a5d41ff5c7a7febde6f2aaf2c2a538c961","txt"
"reports/forensic_core__reports.csv","3779","86a7524c3880cf26127b79b3b5406f9f5600a7ef3262cefff3f7307d3940e160","csv"
